File_Name,lat,lng,Reduced,Tiny Thumbnail (150 wide),Consensus,predominant groups,top ,hex_code,NonConsensus,Annotation1,David,Annotation,Rim,Jessie,Lotte,Wanshu,Sabina,Meta
20250724_085527(0).jpg,47.2352954,6.0216903,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250724_085527(0).jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250724_085527(0).jpg?raw=true"">",Low,,,,"multiple lightning, cake with icing, giant bug, lightenings, group of dancing people, snake skin, Mushroom, tree leaves, thirsty land",lava dripping into the ocean,ghost,cat lying on its back,rabbit and tortoise,whale,plant,Laughing man,swimming guy,the formation of a bone
20250724_085919.jpg,47.2357999,6.0242738,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250724_085919.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250724_085919.jpg?raw=true"">",High,Avian and Aerial,"#1 Category (5 out of 9 55.6%), #2 Category (2 out o f 9 22.2%), #3 category(1 out of 9 11.1%)",#e377c2,"the bat signal, crown, cat, wave and cliff, map, spiral, Sitting man, rino head, crown coming back to the fortress",chick emerging from an egg,chicken,hen,hen,hen,face,Fat cat,one-ear cat,a cat wit one ear
20250725_105921.jpg,47.2339664,6.0253444,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_105921.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_105921.jpg?raw=true"">",Medium,Abstract Patterns and Forms,"#1 Category (5 out of 9 55.6%), #2 Category (3 out o f 9 33.3%), #3 category(1 out of 9 11.1%)",#2ca02c,"the back end of a very large mouse, falcon, ?, chainswan man's katana man, dog, crescent shadow, helmet soldier, sword handle, pulling a carrot from the soil",Less than sign,minus sign,/ <,direction,arrow,whale,Arrow,left pointing arrow,arrow
20250725_110401.jpg,47.2359448,6.0273944,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_110401.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_110401.jpg?raw=true"">",Medium,Avian and Aerial,"#1 Category (3 out of 9 33.3%), #2 Category (2 out o f 9 22.2%), #3 category(2 out of 9 22.2%)",#e377c2,"a person trying to get out of a swimming pool, leaf, branch, wrapped humanoid monster, lightning and geometric figure, mountain ridge, Shooting woman, butterfly, a vein of France",lightning,crack in the wall,river on map,lightening,lightning,face,Root of plant,lighting striking,crack (fissure)
20250725_110422.jpg,47.2361984,6.0275542,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_110422.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_110422.jpg?raw=true"">",Medium,Aquatic and Marine,"#1 Category (5 out of 9 55.6%), #2 Category (1 out o f 9 11.1%), #3 category(1 out of 9 11.1%)",#7f7f7f,"a man with a large nose, pointing finger, syringe, bird's head and neck, geometric figure, coral reef, Crocodile, crocodile side face, tuning fork",moray eel,whale,whale,water infiltration,python head,paw,Whale,macaroon,shark's digestive track
20250725_115136.jpg,47.2362908,6.0277071,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_115136.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_115136.jpg?raw=true"">",Medium,Reptiles and Monsters,"#1 Category (7 out of 9 77.8%), #2 Category (1 out o f 9 11.1%), #3 category(1 out of 9 11.1%)",#ff7f0e,"multiple lightning, cake with icing, giant bug, lightenings, group of dancing people, snake skin, Mushroom, tree leaves, thirsty land",pac-man ,pacman,pac man,titan's head,dinosaur head,dog,Boot,enlarged pacman,a monster with big jaw
20250725_134732.jpg,47.2349405,6.0248054,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_134732.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_134732.jpg?raw=true"">",High,Reptiles and Monsters,"#1 Category (5 out of 9 55.6%), #2 Category (1 out o f 9 11.1%), #3 category(1 out of 9 11.1%)",#ff7f0e,"a person lying down, the Nile River, pterodactyl hunting snake, snake and dry branch, map, branching tree, Two snake fighting and one passing by, mountain landscape, dna chain",snake,snake,snake,snake,snake,person with big head,Branch,arch,a view to the Alps
20250725_134942.jpg,47.2347495,6.0250368,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_134942.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_134942.jpg?raw=true"">",Medium,Landscapes and Geography,"#1 Category (3 out of 9 33.3%), #2 Category (3 out o f 9 33.3%), #3 category(1 out of 9 11.1%)",#d62728,"blue heron, ?, cracked phone screen, dagger,",tornado,tornado,bovine,cobra,cobra,sad person with big nose,Squashed toothpaste tube,south america,mermaid and the creature sticking from the ceiling kissing
20250725_135236.jpg,47.2346125,6.0253569,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_135236.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_135236.jpg?raw=true"">",Low,,,,"the number three,",blue heron,?,cracked phone srceen,dagger,sword,fin,Fencer,sword,sword through wall
20250725_135317.jpg,47.2345181,6.0254557,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_135317.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_135317.jpg?raw=true"">",Low,,,,"a tadpole, fish, pelvic bone, fallen rose, A towering mountain peak, sea turtle, Goldfish, ant, archipelago",the number three,sandwich,sandwich,boot,books,cat,Shark,chinese character for 3,layering
20250725_135412.jpg,47.2347051,6.0258901,"<a href=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_1/20250725_135412.jpg"">Click here to see the image</a>","<img src=""https://github.com/Mapping-Aficionados/GroupPresentation/blob/main/Reduced_3/20250725_135412.jpg?raw=true"">",Medium,Abstract Patterns and Forms,"#1 Category (5 out of 9 55.6%), #2 Category (1 out o f 9 11.1%), #3 category(1 out of 9 11.1%)",#2ca02c,"the wave, pot, pigeon, smile, Crab, flying bird silhouette, crow",palm tree,palm tree,lunar docking station,palm,lightning,legs,Tomato stem,inverted psychology symbol,skiny mosquito
